time,market_price
1663545600000,20597.764285714286
1663632000000,20257.955714285716
1663718400000,19850.74
1663804800000,19666.08285714286
1663891200000,19421.484285714287
1663977600000,19380.618571428575
1664064000000,19308.185714285715
1664150400000,19138.05428571429
1664236800000,19051.17571428572
1664323200000,19006.18428571429
1664409600000,19038.317142857148
1664496000000,19184.510000000006
1664582400000,19211.685714285722
1664668800000,19232.631428571436
1664755200000,19287.331428571433
1664841600000,19321.904285714292
1664928000000,19379.811428571436
1665014400000,19556.57714285715
1665100800000,19647.58857142858
1665187200000,19698.67857142858
1665273600000,19715.481428571435
1665360000000,19730.201428571436
1665446400000,19786.224285714296
1665532800000,19714.782857142865
1665619200000,19530.124285714293
1665705600000,19385.612857142864
1665792000000,19303.732857142862
1665878400000,19252.288571428573
1665964800000,19201.627142857145
1666051200000,19176.434285714287
1666137600000,19235.92714285714
1666224000000,19276.084285714285
1666310400000,19271.71857142857
1666396800000,19223.647142857142
1666483200000,19221.737142857142
1666569600000,19242.07285714286
1666656000000,19284.984285714287
1666742400000,19254.97428571429
1666828800000,19365.05
1666915200000,19600.294285714284
1667001600000,19777.678571428572
1667088000000,19982.005714285715
1667174400000,20212.10714285714
1667260800000,20363.905714285713
1667347200000,20529.675714285717
1667433600000,20584.674285714285
1667520000000,20496.335714285717
1667606400000,20484.855714285713
1667692800000,20563.612857142853
1667779200000,20631.68571428571
1667865600000,20673.375714285714
1667952000000,20687.54
1668038400000,20409.518571428573
1668124800000,19795.655714285713
1668211200000,19415.95142857143
1668297600000,18821.28428571429
1668384000000,18176.10285714286
1668470400000,17517.527142857147
1668556800000,16944.60142857143
1668643200000,16706.52285714286
1668729600000,16821.56428571429
1668816000000,16697.59428571429
1668902400000,16653.731428571435
1668988800000,16641.07428571429
1669075200000,16633.94714285715
1669161600000,16515.611428571436
1669248000000,16418.63857142858
1669334400000,16410.714285714294
1669420800000,16397.890000000007
1669507200000,16372.778571428576
1669593600000,16339.302857142862
1669680000000,16362.130000000005
1669766400000,16426.322857142863
1669852800000,16460.320000000003
1669939200000,16540.870000000003
1670025600000,16594.998571428576
1670112000000,16678.397142857146
1670198400000,16741.36285714286
1670284800000,16840.987142857142
1670371200000,16949.28142857143
1670457600000,17042.527142857147
1670544000000,16994.73142857143
1670630400000,17032.30428571429
1670716800000,17037.63571428572
1670803200000,17070.601428571434
1670889600000,17067.892857142862
1670976000000,17102.157142857148
1671062400000,17200.097142857147
1671148800000,17338.15285714286
1671235200000,17355.708571428575
1671321600000,17285.572857142863
1671408000000,17236.802857142862
1671494400000,17186.428571428576
1671580800000,17076.860000000004
1671667200000,16953.090000000004
1671753600000,16811.830000000005
1671840000000,16734.860000000004
1671926400000,16755.161428571428
1672012800000,16762.947142857145
1672099200000,16774.5
1672185600000,16842.472857142857
1672272000000,16813.095714285715
1672358400000,16773.904285714285
1672444800000,16747.02
1672531200000,16721.302857142855
1672617600000,16676.82857142857
1672704000000,16646.37857142857
1672790400000,16611.49857142857
1672876800000,16607.29857142857
1672963200000,16651.777142857143
1673049600000,16679.765714285713
1673136000000,16730.091428571428
1673222400000,16789.865714285716
1673308800000,16860.537142857145
1673395200000,16934.898571428574
1673481600000,17045.481428571427
1673568000000,17200.334285714285
1673654400000,17490.75
1673740800000,17916.662857142856
1673827200000,18489.512857142858
1673913600000,19028.452857142856
1674000000000,19599.65571428571
1674086400000,20128.441428571423
1674172800000,20519.609999999993
1674259200000,20837.958571428568
1674345600000,21232.257142857135
1674432000000,21491.878571428566
1674518400000,21755.198571428566
1674604800000,22002.895714285707
1674691200000,22215.651428571426
1674777600000,22560.931428571424
1674864000000,22835.292857142853
1674950400000,22889.915714285708
1675036800000,22927.019999999993
1675123200000,23074.39428571428
1675209600000,23061.78285714285
1675296000000,23133.13142857142
1675382400000,23223.457142857136
1675468800000,23287.188571428564
1675555200000,23339.228571428564
1675641600000,23381.515714285702
1675728000000,23264.52999999999
1675814400000,23254.194285714275
1675900800000,23271.462857142847
1675987200000,23163.298571428564
1676073600000,22926.104285714275
1676160000000,22668.741428571415
1676246400000,22459.255714285704
1676332800000,22295.012857142843
1676419200000,22155.619999999988
1676505600000,22006.621428571412
1676592000000,22203.172857142843
1676678400000,22453.261428571415
1676764800000,22872.46428571427
1676851200000,23269.621428571416
1676937600000,23627.182857142845
1677024000000,24062.442857142847
1677110400000,24380.485714285704
1677196800000,24358.334285714274
1677283200000,24415.72285714285
1677369600000,24218.444285714275
1677456000000,24009.13285714285
1677542400000,23905.265714285702
1677628800000,23714.23857142856
1677715200000,23527.12428571427
1677801600000,23449.411428571413
1677888000000,23380.97857142855
1677974400000,23260.935714285697
1678060800000,23142.614285714266
1678147200000,22980.39285714284
1678233600000,22825.107142857127
1678320000000,22692.13428571427
1678406400000,22414.512857142843
1678492800000,21971.084285714274
1678579200000,21667.245714285702
1678665600000,21425.56999999999
1678752000000,21393.82142857142
1678838400000,21651.409999999993
1678924800000,22018.548571428564
1679011200000,22401.128571428566
1679097600000,23071.16857142857
1679184000000,24105.15714285714
1679270400000,25007.81571428571
1679356800000,25842.175714285706
1679443200000,26353.197142857134
1679529600000,26842.349999999995
1679616000000,27260.91142857142
1679702400000,27729.30857142856
1679788800000,27734.084285714278
1679875200000,27808.465714285707
1679961600000,27801.89428571428
1680048000000,27709.085714285706
1680134400000,27578.11285714285
1680220800000,27728.055714285707
1680307200000,27685.289999999997
1680393600000,27825.797142857136
1680480000000,27964.222857142853
1680566400000,27990.702857142856
1680652800000,28085.131428571425
1680739200000,28212.95714285714
1680825600000,28187.882857142853
1680912000000,28188.86571428571
1680998400000,28109.69428571428
1681084800000,28036.97571428571
1681171200000,28058.544285714277
1681257600000,28323.402857142846
1681344000000,28618.471428571418
1681430400000,28864.01999999999
1681516800000,29202.257142857132
1681603200000,29568.042857142846
1681689600000,29905.65857142856
1681776000000,30188.40285714285
1681862400000,30158.525714285708
1681948800000,30181.191428571423
1682035200000,30028.381428571425
1682121600000,29719.15571428571
1682208000000,29259.432857142852
1682294400000,28901.84142857142
1682380800000,28512.578571428563
1682467200000,28236.775714285704
1682553600000,27937.928571428558
1682640000000,27880.80714285713
1682726400000,28057.56857142856
1682812800000,28352.08857142856
1682899200000,28556.159999999993
1682985600000,28795.24428571428
1683072000000,28876.697142857134
1683158400000,28930.49428571428
1683244800000,29013.05714285714
1683331200000,28923.269999999993
1683417600000,28952.662857142852
1683504000000,28903.909999999996
1683590400000,28788.581428571426
1683676800000,28732.11857142857
1683763200000,28583.804285714283
1683849600000,28385.15857142857
1683936000000,28119.63857142857
1684022400000,27729.30571428571
1684108800000,27426.809999999998
1684195200000,27208.14285714286
1684281600000,27136.794285714284
1684368000000,27050.551428571427
1684454400000,27019.28428571428
1684540800000,26996.437142857136
1684627200000,27008.801428571423
1684713600000,27057.16428571428
1684800000000,27032.93571428571
1684886400000,26984.07857142857
1684972800000,27010.764285714282
1685059200000,26857.78
1685145600000,26806.925714285717
1685232000000,26782.66
1685318400000,26746.76
1685404800000,26936.20714285714
1685491200000,27064.019999999997
1685577600000,27132.70714285714
1685664000000,27259.32571428571
1685750400000,27307.537142857134
1685836800000,27383.564285714278
1685923200000,27412.148571428563
1686009600000,27275.337142857134
1686096000000,26989.985714285704
1686182400000,26924.21999999999
1686268800000,26801.147142857135
1686355200000,26757.227142857137
1686441600000,26647.45428571428
1686528000000,26473.104285714282
1686614400000,26302.824285714283
1686700800000,26325.269999999997
1686787200000,26136.381428571425
1686873600000,25961.35857142857
1686960000000,25828.26714285714
1687046400000,25805.797142857144
1687132800000,25899.65428571429
1687219200000,25957.371428571434
1687305600000,26092.297142857144
1687392000000,26435.92285714286
1687478400000,27131.057142857146
1687564800000,27749.348571428574
1687651200000,28373.144285714287
1687737600000,28950.11142857143
1687824000000,29538.95285714286
1687910400000,30027.224285714292
1687996800000,30366.125714285725
