time,output_volume
1600473600000,3116787.78504107
1600560000000,3154959.6624185056
1600646400000,3117805.302722073
1600732800000,3216902.314262334
1600819200000,3205754.1935788086
1600905600000,3148933.3861532146
1600992000000,2901174.800918401
1601078400000,2765620.757575136
1601164800000,2697733.5164165827
1601251200000,2656628.4818535238
1601337600000,2490577.5019390094
1601424000000,2462654.1979641877
1601510400000,2424848.401105605
1601596800000,2363199.8207260473
1601683200000,2344685.575789845
1601769600000,2314474.2272455804
1601856000000,2286524.266736275
1601942400000,2250575.450355914
1602028800000,2191966.9832407343
1602115200000,2152314.002171273
1602201600000,2158749.647054107
1602288000000,2165938.6652398147
1602374400000,2121883.261936431
1602460800000,2158614.0543994717
1602547200000,2177227.75307963
1602633600000,2192702.822645665
1602720000000,2233856.2099264762
1602806400000,2320706.237373078
1602892800000,2263568.0756780324
1602979200000,2343199.3593044057
1603065600000,2342297.812774867
1603152000000,2519338.1100809867
1603238400000,2792862.991267082
1603324800000,2994834.2222113335
1603411200000,3196043.7514162
1603497600000,3250654.8460105066
1603584000000,3170228.4506479315
1603670400000,3100439.834490388
1603756800000,3018040.73020285
1603843200000,2775809.9088533623
1603929600000,2611454.5056788814
1604016000000,2382611.964219241
1604102400000,2326821.108472899
1604188800000,2302841.3093964597
1604275200000,2373794.953815725
1604361600000,2335442.4704838996
1604448000000,2436371.25036899
1604534400000,2348133.4141936833
1604620800000,2446509.163248867
1604707200000,2552039.0761562265
1604793600000,2540615.5435740044
1604880000000,2449708.116394427
1604966400000,2389357.4813713357
1605052800000,2239368.561959098
1605139200000,2242103.439180971
1605225600000,2075735.450172467
1605312000000,1859917.109610531
1605398400000,1901366.5557068784
1605484800000,1915611.434567306
1605571200000,2126239.205171415
1605657600000,2250602.9076236985
1605744000000,2374404.8794397875
1605830400000,2434000.637019915
1605916800000,2559900.7000593096
1606003200000,2560549.494136214
1606089600000,2604743.333417294
1606176000000,2408792.5349385277
1606262400000,2311044.9333840082
1606348800000,2208568.544045999
1606435200000,2195107.4423329458
1606521600000,2109071.945652099
1606608000000,2022011.6739305325
1606694400000,1931682.3736665347
1606780800000,1932768.3301313673
1606867200000,1897516.3472968137
1606953600000,1820842.1417767785
1607040000000,1712042.396124966
1607126400000,1718727.409191554
1607212800000,1751211.9274973476
1607299200000,1759261.167408283
1607385600000,1659251.0504124593
1607472000000,1590566.2694246233
1607558400000,1632149.3626860739
1607644800000,1695477.0740219988
1607731200000,1626509.7154305521
1607817600000,1611485.4387550738
1607904000000,1658024.574344949
1607990400000,1732574.7995987344
1608076800000,1809902.5535638481
1608163200000,1915961.2162566984
1608249600000,1992701.7923250229
1608336000000,2137580.429083237
1608422400000,2172604.1089641773
1608508800000,2124736.085104155
1608595200000,2077242.839765321
1608681600000,2060168.5318254367
1608768000000,1959655.2257652662
1608854400000,1904233.8868438734
1608940800000,1848168.646135785
1609027200000,1897941.67795747
1609113600000,2068166.6462618406
1609200000000,2102062.966728068
1609286400000,2074227.5092728625
1609372800000,2036726.9935931663
1609459200000,2012480.50114183
1609545600000,1949612.1330616854
1609632000000,1971171.565007538
1609718400000,1927913.077111343
1609804800000,1919580.1504600556
1609891200000,1971575.4824892315
1609977600000,2026995.7528928353
1610064000000,2142099.350908276
1610150400000,2272886.362802383
1610236800000,2238554.257594112
1610323200000,2180090.8293087394
1610409600000,2253826.0315389098
1610496000000,2253942.468291345
1610582400000,2204003.297277017
1610668800000,2087403.0629116558
1610755200000,1975527.9442402243
1610841600000,1943371.9978219613
1610928000000,1889586.0234948501
1611014400000,1796762.6863394852
1611100800000,1782623.2677518837
1611187200000,1816814.6421429277
1611273600000,1856108.034145187
1611360000000,1909257.4299587137
1611446400000,1885049.2270471456
1611532800000,1897854.9251470014
1611619200000,1972804.6673950322
1611705600000,1914537.625702012
1611792000000,1910844.912006288
1611878400000,1906794.045876172
1611964800000,1961859.4549661775
1612051200000,2022947.0796397687
1612137600000,2090883.1117603031
1612224000000,2035570.2414138638
1612310400000,2067151.4634008312
1612396800000,2077120.9619731642
1612483200000,2077058.2630590796
1612569600000,2000856.9945105384
1612656000000,2029379.2931763823
1612742400000,2037540.1383872733
1612828800000,2085725.3105015256
1612915200000,2296512.1175504886
1613001600000,2310451.6163735515
1613088000000,2339094.9323695707
1613174400000,2365334.1595838866
1613260800000,2274998.078373728
1613347200000,2266653.504342158
1613433600000,2267707.6383882565
1613520000000,2141257.587596791
1613606400000,2129111.037185109
1613692800000,2103567.9644897054
1613779200000,2135345.677845464
1613865600000,2231197.622376488
1613952000000,2201855.726164905
1614038400000,2161884.809460266
1614124800000,2113054.1031382405
1614211200000,2119300.311198403
1614297600000,2135087.328826072
1614384000000,2092675.168540771
1614470400000,2018690.6705496237
1614556800000,2011255.848303567
1614643200000,1981689.224980424
1614729600000,1940989.7172494435
1614816000000,1905866.2676589296
1614902400000,1792323.1531083253
1614988800000,1750982.7358734438
1615075200000,1730319.7584188129
1615161600000,1787268.6869556925
1615248000000,1812395.7795072722
1615334400000,1821275.9732106405
1615420800000,1797228.5219415613
1615507200000,1821179.4011939724
1615593600000,1767503.6115230175
1615680000000,1719766.6020668256
1615766400000,1602557.1816627514
1615852800000,1508921.2206122116
1615939200000,1439142.8812701327
1616025600000,1403818.012456465
1616112000000,1349442.399843119
1616198400000,1324468.703531276
1616284800000,1316231.5028539526
1616371200000,1287740.6808250218
1616457600000,1287500.0281971868
1616544000000,1338603.7969824416
1616630400000,1364648.5247936074
1616716800000,1423082.536680713
1616803200000,1455477.452429464
1616889600000,1468784.317021355
1616976000000,1441727.4931942965
1617062400000,1485350.6133668784
1617148800000,1439401.562276805
1617235200000,1399626.4286064203
1617321600000,1349978.1489786895
1617408000000,1339868.4873648547
1617494400000,1355417.862439518
1617580800000,1389210.9040867393
1617667200000,1409771.868941979
1617753600000,1497563.555374169
1617840000000,1545799.3244298664
1617926400000,1565082.666774187
1618012800000,1595143.9726063327
1618099200000,1623408.8216323175
1618185600000,1653626.6875759582
1618272000000,1642907.8317858253
1618358400000,1614034.5601828513
1618444800000,1631747.0864887722
1618531200000,1681039.774716269
1618617600000,1715692.1030662174
1618704000000,1658659.5672018637
1618790400000,1699488.8415085168
1618876800000,1642702.896219454
1618963200000,1636795.8454620002
1619049600000,1651820.8165439542
1619136000000,1700725.1734970522
1619222400000,1750254.8297607352
1619308800000,1815913.7269670393
1619395200000,1813266.177506961
1619481600000,1938092.6595884885
1619568000000,1997977.9536770987
1619654400000,2008698.630092013
1619740800000,1997843.8667209318
1619827200000,2013017.026133618
1619913600000,2014123.3861834873
1620000000000,1993405.6440626814
1620086400000,1994400.5328425537
1620172800000,1993379.6966409658
1620259200000,1968204.1053614884
1620345600000,1924725.4581285038
1620432000000,1874656.4872853209
1620518400000,1841540.8203659465
1620604800000,1783658.1533153437
1620691200000,1677019.6158440677
1620777600000,1523276.1107768044
1620864000000,1484511.4341875822
1620950400000,1583559.6793490965
1621036800000,1633736.418791134
1621123200000,1711577.2650298676
1621209600000,1817424.824941974
1621296000000,1985066.2942905356
1621382400000,2079851.2680111006
1621468800000,2289895.5876764655
1621555200000,2339832.272341049
1621641600000,2326110.113763818
1621728000000,2389112.195647855
1621814400000,2446582.6295199133
1621900800000,2449850.531685471
1621987200000,2509997.5583370593
1622073600000,2394849.2522108853
1622160000000,2270647.84647874
1622246400000,2370828.253540089
1622332800000,2324535.3650217443
1622419200000,2160579.2653256333
1622505600000,1948599.3644529318
1622592000000,1834470.186167594
1622678400000,1681741.220937489
1622764800000,1573217.6867879373
1622851200000,1306335.5218921262
1622937600000,1124359.2453920357
1623024000000,1224439.034008628
1623110400000,1371694.6100292325
1623196800000,1519748.7661510482
1623283200000,1544361.5469990945
1623369600000,1571366.006552605
1623456000000,1633502.256202874
1623542400000,1668459.2752044597
1623628800000,1582775.3737791043
1623715200000,1487010.1932228128
1623801600000,1326506.8600079042
1623888000000,1366919.0940947868
1623974400000,1389293.764500504
1624060800000,1402478.4854014122
1624147200000,1412415.1118510321
1624233600000,1425905.5809129577
1624320000000,1463294.9838347354
1624406400000,1539455.0595370813
1624492800000,1570062.9699445772
1624579200000,1611373.3002891182
1624665600000,1728762.658764065
1624752000000,1828143.817151381
1624838400000,1841896.1259021198
1624924800000,1816213.279390289
1625011200000,1736169.3569845534
1625097600000,1652686.8272261324
1625184000000,1622204.2505330388
1625270400000,1530055.6704933436
1625356800000,1461651.9518061855
1625443200000,1492078.2018760464
1625529600000,1473765.7281812734
1625616000000,1467528.0751116741
1625702400000,1480006.9518676451
1625788800000,1709571.3079549037
1625875200000,1951398.8160478019
1625961600000,2031206.1629108232
1626048000000,2069997.5046504692
1626134400000,2103732.262610625
1626220800000,2129773.0784442453
1626307200000,2155285.378158493
1626393600000,1955011.2307283345
1626480000000,1726958.983290698
1626566400000,1727446.644659668
1626652800000,1629485.5473372296
1626739200000,1646919.9638236396
1626825600000,1690533.4893955465
1626912000000,1743572.22877598
1626998400000,1737692.1635719817
1627084800000,1726669.5005424067
1627171200000,1675789.2949357354
1627257600000,1717418.1158871453
1627344000000,1788815.0393781643
1627430400000,2585594.420069502
1627516800000,2899129.3330821157
1627603200000,3014006.732153438
1627689600000,3022425.3070649495
1627776000000,3099944.4587658434
1627862400000,3360569.0327896685
1627948800000,3418853.491322198
1628035200000,2717452.5553151923
1628121600000,2475014.4688871573
1628208000000,2364241.7473567678
1628294400000,2391844.524902601
1628380800000,2369456.73532622
1628467200000,2150594.272378988
1628553600000,2038271.9154208123
1628640000000,1945352.3475406426
1628726400000,1928674.029293347
1628812800000,1936546.1059668402
1628899200000,1887736.7076172496
1628985600000,1867570.2512194936
1629072000000,1870047.4058594152
1629158400000,1930348.5826359487
1629244800000,2012318.7142255253
1629331200000,2079998.1729880457
1629417600000,2178371.8090756717
1629504000000,2269548.8668639674
1629590400000,2366384.4009444667
1629676800000,2371407.6663643895
1629763200000,2489766.2885071198
1629849600000,3309834.8921420486
1629936000000,3522247.004127528
1630022400000,3825171.608277823
1630108800000,4056519.62282549
1630195200000,4209825.009782926
1630281600000,4472751.61937257
1630368000000,4593529.856347771
1630454400000,3980190.169777977
1630540800000,3967941.8684058557
1630627200000,3895413.6463141185
1630713600000,3766715.3050953397
