time,hash_rate
1600473600000,143137521.83599728
1600560000000,140550699.1522142
1600646400000,139904505.85300228
1600732800000,138113015.65931177
1600819200000,136590567.76792595
1600905600000,136974413.06759652
1600992000000,133839259.63432515
1601078400000,136694669.32218266
1601164800000,138914905.99167848
1601251200000,140454294.33070657
1601337600000,138259695.98178926
1601424000000,139905644.74347726
1601510400000,141825918.29877988
1601596800000,140042807.1402846
1601683200000,135516448.04564267
1601769600000,135653610.44245
1601856000000,136460935.27785844
1601942400000,137953248.43701747
1602028800000,136429165.52396676
1602115200000,135725586.01090184
1602201600000,140918695.23724538
1602288000000,141724961.08085746
1602374400000,140610835.70341176
1602460800000,138141088.90059373
1602547200000,139374491.4800633
1602633600000,144308101.79794165
1602720000000,144034012.3358373
1602806400000,142526520.29426336
1602892800000,144308101.79794165
1602979200000,146484944.03741995
1603065600000,144339932.50425595
1603152000000,141671570.50887826
1603238400000,139371646.13118586
1603324800000,137413336.25306407
1603411200000,136175009.8769961
1603497600000,133536442.03601238
1603584000000,133347787.62065111
1603670400000,132921756.35029759
1603756800000,130791599.99852999
1603843200000,124401130.9432272
1603929600000,120140818.23969202
1604016000000,116022515.959608
1604102400000,113182307.49058457
1604188800000,107643900.97598884
1604275200000,108779984.36359821
1604361600000,106649828.01183064
1604448000000,110352547.38279949
1604534400000,115107145.47938485
1604620800000,117295045.81540214
1604707200000,119772222.06754525
1604793600000,121130852.42189345
1604880000000,119831614.77952178
1604966400000,128395929.46810682
1605052800000,128159204.2442158
1605139200000,126728589.8712571
1605225600000,128278422.10862902
1605312000000,126609372.00684388
1605398400000,126132500.54919098
1605484800000,127563114.92214966
1605571200000,124869930.27180232
1605657600000,126964111.47028205
1605744000000,130557849.91211644
1605830400000,128602936.80096647
1605916800000,133025455.05449378
1606003200000,137215282.8183943
1606089600000,141076183.1850535
1606176000000,140083639.15004915
1606262400000,137459413.97417846
1606348800000,135709930.52359802
1606435200000,137334450.87056556
1606521600000,135584967.41998512
1606608000000,133710520.8657918
1606694400000,131309769.58997226
1606780800000,128313154.48992191
1606867200000,131996845.7783809
1606953600000,130449316.11808941
1607040000000,133063743.4750407
1607126400000,133409747.66795126
1607212800000,133755751.86086182
1607299200000,132914894.02681772
1607385600000,137948518.46795616
1607472000000,136860167.23743975
1607558400000,137948518.46795616
1607644800000,134275333.06496325
1607731200000,133459069.64207594
1607817600000,131826542.79630134
1607904000000,134533587.60765913
1607990400000,133351912.23475644
1608076800000,132323572.34683482
1608163200000,132373208.7407297
1608249600000,131791042.04281816
1608336000000,133832920.56666498
1608422400000,136823648.10098037
1608508800000,135635056.09561104
1608595200000,134441785.80737987
1608681600000,134839542.57012358
1608768000000,136297984.03351727
1608854400000,135900227.27077356
1608940800000,134176614.63221739
1609027200000,131392317.2930113
1609113600000,130994560.53026757
1609200000000,134096925.47590557
1609286400000,135214014.9354613
1609372800000,137514350.89000148
1609459200000,142734576.90930298
1609545600000,143322827.58752075
1609632000000,145103346.17464504
1609718400000,146350014.08380798
1609804800000,148066610.0670914
1609891200000,148727032.05668592
1609977600000,149387454.04628044
1610064000000,149651622.84211826
1610150400000,149519538.44419935
1610236800000,148690226.43303123
1610323200000,151089413.1225263
1610409600000,150775619.32875094
1610496000000,151697118.48429385
1610582400000,150562301.29304814
1610668800000,149884529.16858572
1610755200000,153019188.22568035
1610841600000,155416162.87700742
1610928000000,151611247.40167576
1611014400000,150294161.27559945
1611100800000,150440504.1784968
1611187200000,148830732.24662572
1611273600000,146196559.99447304
1611360000000,144294102.25680724
1611446400000,145607574.27831852
1611532800000,146698957.53407043
1611619200000,146182103.5762129
1611705600000,148185308.05110508
1611792000000,148549580.94715506
1611878400000,151113601.54145047
1611964800000,152810307.74619317
1612051200000,150095785.47639355
1612137600000,150835173.5821886
1612224000000,147877621.15900844
1612310400000,146546722.56857735
1612396800000,147729743.53784943
1612483200000,149947907.85523456
1612569600000,152461827.4149377
1612656000000,156496366.0091922
1612742400000,158947631.13423166
1612828800000,165861253.11216184
1612915200000,165150693.72026786
1613001600000,164735889.5706919
1613088000000,160711290.00435206
1613174400000,157334595.3952425
1613260800000,157086558.55281195
1613347200000,156021048.95022506
1613433600000,154346676.71758848
1613520000000,150997932.25231537
1613606400000,150236853.96475333
1613692800000,151454579.22485262
1613779200000,153151584.74440545
1613865600000,151777617.95629352
1613952000000,150850010.28302965
1614038400000,148383785.4623389
1614124800000,149558390.99271905
1614211200000,153082073.67499632
1614297600000,156295152.32763526
1614384000000,154427502.27930498
1614470400000,156124507.79885778
1614556800000,154581775.50835523
1614643200000,154118955.82120448
1614729600000,156587327.48600858
1614816000000,155507414.88265678
1614902400000,151187764.46924964
1614988800000,152730496.75975218
1615075200000,151688789.94012293
1615161600000,153716875.77834648
1615248000000,157270062.99352616
1615334400000,156532984.65120932
1615420800000,155778275.39534613
1615507200000,156136781.5795335
1615593600000,155997206.24947724
1615680000000,154598952.23605472
1615766400000,156274408.86127305
1615852800000,155208209.19067955
1615939200000,156579037.33858544
1616025600000,154598952.2360547
1616112000000,157645237.00917894
1616198400000,157420617.6912914
1616284800000,159552422.85545158
1616371200000,159862383.76013908
1616457600000,160766785.10844684
1616544000000,163071647.62666968
1616630400000,165959097.37970906
1616716800000,166720074.39596337
1616803200000,165215303.4719892
1616889600000,165991691.17627487
1616976000000,166457523.79884627
1617062400000,166457523.79884627
1617148800000,164128360.6859893
1617235200000,164904748.39027494
1617321600000,163507250.52256075
1617408000000,165320614.44934323
1617494400000,162156064.84321755
1617580800000,161456161.73214817
1617667200000,163641576.61130673
1617753600000,164631661.9987059
1617840000000,166049721.39905876
1617926400000,165551986.66394418
1618012800000,167595961.66382885
1618099200000,171868015.5885931
1618185600000,171703705.82225603
1618272000000,169731988.62621096
1618358400000,169403369.0935368
1618444800000,165788554.23412085
1618531200000,172130189.21775606
1618617600000,164404171.24372485
1618704000000,153847004.45635313
1618790400000,150787954.8145779
1618876800000,143371614.98041585
1618963200000,141475361.29820356
1619049600000,136207676.021627
1619136000000,131796265.46354505
1619222400000,137155198.74795857
1619308800000,146198398.6654064
1619395200000,149045331.97275108
1619481600000,151892265.2800958
1619568000000,154236798.5920267
1619654400000,161102931.86268154
1619740800000,157586131.89478514
1619827200000,159260798.54616436
1619913600000,157685930.67036393
1620000000000,161148443.24309963
1620086400000,167961731.4564108
1620172800000,170671365.20493433
1620259200000,169868525.99901253
1620345600000,174317609.61284044
1620432000000,175207666.00803325
1620518400000,177526237.2392579
1620604800000,177672590.27902648
1620691200000,178111649.39833212
1620777600000,176794472.0404151
1620864000000,178989767.63694343
1620950400000,180666398.1982892
1621036800000,179327827.5416231
1621123200000,176179075.04398838
1621209600000,172435828.21588302
1621296000000,167614164.7456518
1621382400000,160228122.6394345
1621468800000,157288750.71671072
1621555200000,150653185.81676164
1621641600000,146384382.44060782
1621728000000,145139314.78922963
1621814400000,142827046.293813
1621900800000,143716380.33051172
1621987200000,147807316.8993258
1622073600000,147273716.47730657
1622160000000,148163050.51400527
1622246400000,149763851.78006297
1622332800000,149763851.78006297
1622419200000,150291730.25568312
1622505600000,148955749.53382164
1622592000000,148302838.99995774
1622678400000,151415069.6569138
1622764800000,152576708.79698002
1622851200000,150991098.06671333
1622937600000,149939087.7584659
1623024000000,150665524.10616753
1623110400000,149469765.97834077
1623196800000,150516054.3401892
1623283200000,144537263.70105553
1623369600000,140202640.48768362
1623456000000,136316426.57224676
1623542400000,136465896.3382251
1623628800000,133577497.88842894
1623715200000,132807547.04458119
1623801600000,129079871.70711638
1623888000000,127657584.5112262
1623974400000,128421919.85959908
1624060800000,130280049.80874498
1624147200000,125129902.82716675
1624233600000,120460802.62675631
1624320000000,116214240.84202929
1624406400000,110552158.46239324
1624492800000,107438013.15359342
1624579200000,103899211.66632089
1624665600000,101917482.83344828
1624752000000,99935754.00057565
1624838400000,93424359.26399422
1624924800000,90876422.19315802
1625011200000,90734870.13366713
1625097600000,89036245.41977632
1625184000000,87620724.82486732
1625270400000,84789683.63504931
1625356800000,86292418.3706843
1625443200000,89670680.58608074
1625529600000,90819460.5560025
1625616000000,92563569.88878718
1625702400000,92511258.75252509
1625788800000,93241612.12545457
1625875200000,93863737.36277008
1625961600000,96184636.54794833
1626048000000,97204622.08928394
1626134400000,96592630.76448257
1626220800000,95980639.43968119
1626307200000,100774571.48395857
1626393600000,99652587.38848938
1626480000000,101590559.91702704
1626566400000,99739876.71501002
1626652800000,100971806.31812742
1626739200000,104626219.80193856
1626825600000,102600064.78780988
1626912000000,99339154.93317963
1626998400000,101138948.17825966
1627084800000,98947054.62367477
1627171200000,99328674.26262689
1627257600000,100202533.56699017
1627344000000,98260624.00173841
1627430400000,102921206.95834263
1627516800000,104086352.69749367
1627603200000,104766021.04533179
1627689600000,107775980.871472
1627776000000,108889828.95130345
1627862400000,109887906.60443933
1627948800000,110044864.56184068
1628035200000,110936509.2624975
1628121600000,109693176.78900112
1628208000000,110629262.16549285
1628294400000,110879828.6605434
1628380800000,112005260.90983883
1628467200000,112417044.95730147
1628553600000,113343559.06409241
1628640000000,112931775.01662979
1628726400000,114064181.14715205
1628812800000,113137667.04036112
1628899200000,112222868.24342497
1628985600000,113148142.62570126
1629072000000,116988410.69128773
1629158400000,119126461.98879574
1629244800000,121141397.09547855
1629331200000,120921930.17512046
1629417600000,122389629.87140332
1629504000000,124611386.79520345
1629590400000,125274213.32070984
1629676800000,123285733.74419065
1629763200000,127262692.89722906
1629849600000,125274213.32070985
1629936000000,129030251.81892101
1630022400000,130281220.63377182
1630108800000,130869362.92311624
1630195200000,129727331.44953278
1630281600000,131124515.1627073
1630368000000,126249208.85984442
1630454400000,127249992.51986168
1630540800000,125718040.303854
1630627200000,126093318.03610432
1630713600000,126343503.19093786
1630800000000,128094799.27477264
1630886400000,129095539.89410679
1630972800000,133723965.2585273
1631059200000,134849798.45527822
1631145600000,136270748.73194423
1631232000000,135548079.03417698
1631318400000,134819727.28362697
1631404800000,134785023.05355358
1631491200000,133493710.99652977
1631577600000,132770953.88256578
1631664000000,135601927.41131595
1631750400000,135613291.5168814
1631836800000,135482516.8866819
1631923200000,136921037.81887642
1632009600000,137836460.23027292
1632096000000,139536530.42286643
1632182400000,140190403.57386392
1632268800000,134495823.90656477
1632355200000,134003916.9668144
1632441600000,138478902.6366636
1632528000000,139221878.27487168
1632614400000,138379012.3774964
1632700800000,136207717.71163929
1632787200000,135671902.50093386
1632873600000,139902835.06623906
1632960000000,139363190.57225162
1633046400000,140172657.31323275
1633132800000,139093368.32525793
1633219200000,145029457.75911957
1633305600000,146513480.11758497
1633392000000,146661108.6035507
1633478400000,149322865.8079602
1633564800000,150290764.173168
1633651200000,147140004.5223176
1633737600000,145204823.8005126
1633824000000,141032003.29279727
1633910400000,143257233.72054404
1633996800000,142823772.58333406
1634083200000,138585678.44139537
1634169600000,143953931.02118438
1634256000000,143388851.80225924
1634342400000,146355517.70161635
1634428800000,143953931.02118438
1634515200000,144095200.82591566
1634601600000,144403297.8098649
1634688000000,147578458.080034
1634774400000,144953485.6063823
1634860800000,146706531.95442763
1634947200000,149320648.3805905
1635033600000,151210929.15844816
1635120000000,150427844.64619517
1635206400000,155450273.37765488
1635292800000,154737198.72913355
1635379200000,155878118.1667677
1635465600000,156591192.81528905
1635552000000,158445186.90144458
1635638400000,159871336.19848728
1635724800000,158076294.68936905
1635811200000,154884719.9126323
1635897600000,157794954.1316647
1635984000000,160168323.21633694
1636070400000,160343515.7784078
1636156800000,159797397.10008076
1636243200000,161379304.1724988
1636329600000,164887669.4889204
1636416000000,162888098.87011817
1636502400000,161965220.1229787
1636588800000,160119462.62869972
1636675200000,162426659.4965484
1636761600000,160427088.8777462
1636848000000,160273275.75322297
1636934400000,161753319.40522012
1637020800000,165302524.9329215
1637107200000,166075887.62625524
1637193600000,167149669.97568625
1637280000000,166034035.61704582
1637366400000,166252273.22847018
1637452800000,166066724.20991844
1637539200000,162307875.21222767
1637625600000,160697678.0375032
1637712000000,157799323.12299913
1637798400000,159087480.8627787
1637884800000,156833204.8181644
1637971200000,156028106.23080215
1638057600000,155706066.79585725
1638144000000,156626480.7493672
1638230400000,156604781.32573074
1638316800000,156604715.81627068
1638403200000,153055005.21769133
1638489600000,156707914.0770192
1638576000000,162100790.8414003
1638662400000,163660443.37358636
1638748800000,167815674.28599623
1638835200000,172415536.81368423
1638921600000,175587855.79829666
1639008000000,180504950.22444588
1639094400000,181773877.81829086
1639180800000,179870486.4275234
1639267200000,180450982.45005217
1639353600000,178175819.66922092
1639440000000,175120783.2272306
1639526400000,176123588.11096406
1639612800000,173703015.46589622
1639699200000,167608149.67714044
1639785600000,168465544.6966373
1639872000000,165292796.92411825
1639958400000,166839195.23214015
1640044800000,167354661.33481413
1640131200000,169588347.77973467
